#IAU_ID SNID R.A.(h:m:s) Decl.(°:':'') Telescope  Obs_Date
2005hm 2744 21:39:00.65 -01:01:38.7 MDM 10/24/05
— 2746 02:18:25.13 +01:08:00.9 APO 9/25/05
— 2746 02:18:25.13 +01:08:00.9 WHT 9/26/05
2005fx 2789 22:56:48.34 +00:24:03.9 Subaru 9/27/05
— 2864 23:57:48.24 -01:14:22.6 HET 12/22/05
2005fz 2916 21:03:41.22 +00:34:10.3 WHT 9/26/05
2005fz 2916 21:03:41.22 +00:34:10.3 APO 9/27/05
2005fz 2916 21:03:41.22 +00:34:10.3 APO 10/1/05
— 2928 00:19:24.60 -00:35:20.8 HET 12/29/05
— 2929 00:36:02.88 -00:50:06.0 MDM 9/25/05
2005go 2943 01:10:49.18 +01:00:28.4 HET 10/9/05
2005gp 2992 03:41:59.29 -00:46:57.6 APO 10/7/05
2005gp 2992 03:41:59.29 -00:46:57.6 Subaru 10/26/05
2005ga 3080 01:07:43.76 -01:02:22.2 WHT 9/26/05
2005ga 3080 01:07:43.76 -01:02:22.2 APO 9/28/05
2005ga 3080 01:07:43.76 -01:02:22.2 Subaru 10/27/05
2005gc 3087 01:21:37.62 -00:58:38.0 MDM 10/3/05
2005gs 3199 22:13:10.25 +01:03:02.1 HET 10/9/05
2005gh 3241 20:50:36.35 -00:21:14.8 WHT 9/30/05
2005hn 3256 21:57:04.23 -00:13:24.4 MDM 10/25/05
2005gd 3317 01:47:51.03 +00:38:26.2 APO 9/27/05
2005ge 3331 02:18:14.73 +00:47:47.6 WHT 9/26/05
2005gr 3377 03:36:37.49 +01:04:45.0 HET 10/12/05
2005gf 3451 22:16:16.61 +00:42:29.5 Subaru 9/27/05
2005gg 3452 22:18:41.16 +00:38:21.1 Subaru 9/27/05
— 3508 01:03:17.71 -00:10:44.4 HET 12/20/05
— 3508 01:03:17.71 -00:10:44.4 HET 12/25/05
— 3535 02:56:28.13 -00:08:00.5 HET 12/21/05
2005gb 3592 01:16:12.58 +00:47:31.0 APO 9/27/05
2005gb 3592 01:16:12.58 +00:47:31.0 MDM 10/1/05
2005gb 3592 01:16:12.58 +00:47:31.0 MDM 10/13/05
2005gi 3818 00:55:52.68 +00:30:17.8 APO 9/27/05
2005ho 3901 00:59:24.10 +00:00:09.3 APO 9/28/05
2005ho 3901 00:59:24.10 +00:00:09.3 MDM 10/20/05
— 3959 03:00:23.50 +00:30:42.8 HET 12/30/05
— 4000 02:04:03.84 -00:21:56.9 HET 10/10/05
2005gt 4012 03:13:47.74 -00:14:37.0 WHT 10/24/05
2005gw 4046 23:37:59.60 +00:38:31.7 HET 10/10/05
— 4064 03:04:26.32 +01:02:47.1 APO 10/7/05
— 4236 00:07:37.36 -01:01:06.0 HET 12/23/05
2005gu 4241 00:48:57.05 -00:54:20.8 HET 10/10/05
— 4281 02:13:28.18 -00:58:05.7 APO 10/5/05
— 4307 01:59:51.00 -00:56:58.9 HET 12/21/05
— 4311 02:08:31.43 +01:01:11.9 HET 12/22/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 10/1/05
2005gj 4524 03:01:11.96 -00:33:13.9 APO 10/3/05
2005gj 4524 03:01:11.96 -00:33:13.9 APO 10/7/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 10/12/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 10/22/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 10/25/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 11/2/05
2005gj 4524 03:01:11.96 -00:33:13.9 WHT 11/10/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 11/12/05
2005gj 4524 03:01:11.96 -00:33:13.9 WHT 11/12/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 11/26/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 11/28/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 12/8/05
2005gj 4524 03:01:11.96 -00:33:13.9 MDM 12/25/05
2005gv 4577 02:33:54.13 +00:16:50.6 HET 10/8/05
— 4676 01:15:17.68 +00:47:17.5 HET 12/21/05
2005gy 4679 01:26:06.79 +00:40:36.8 HET 10/8/05
2005gx 5103 23:59:32.27 +00:44:13.7 APO 10/5/05
2005gq 5183 03:33:48.97 +00:42:33.7 HET 10/8/05
2005hp 5350 20:28:52.60 -00:46:45.4 HET 10/22/05
— 5378 02:30:56.86 -01:15:07.5 MDM 12/26/05
2005hs 5391 03:29:22.06 -01:05:41.0 Subaru 10/26/05
2005hr 5395 03:18:33.81 +00:07:24.3 MDM 10/23/05
2005hu 5533 21:54:40.80 +00:24:47.8 Subaru 10/26/05
2005hx 5549 00:13:00.13 +00:14:53.7 MDM 10/22/05
2005hy 5550 00:14:23.59 +00:19:59.1 WHT 10/24/05
2005hw 5588 00:09:28.47 +01:09:17.6 HET 10/27/05
2005hv 5635 22:12:43.86 -00:02:05.6 WHT 10/24/05
— 5673 23:35:12.32 +00:47:03.6 HET 10/26/05
2005ia 5717 01:11:35.02 -00:00:21.0 Subaru 10/27/05
2005jz 5736 01:31:27.07 -00:37:54.0 HET 11/5/05
2005ib 5737 01:31:25.70 -00:36:12.3 Subaru 10/27/05
2005hz 5751 00:46:32.18 +00:50:18.1 WHT 10/24/05
2005hz 5751 00:46:32.18 +00:50:18.1 Subaru 11/27/05
2005hq 5821 20:50:19.78 -00:49:31.0 HET 10/25/05
2005hq 5821 20:50:19.78 -00:49:31.0 HET 10/27/05
2005ic 5844 21:51:08.69 -00:50:34.6 Subaru 10/26/05
2005is 5916 00:21:44.97 -00:19:30.0 MDM 10/25/05
2005is 5916 00:21:44.97 -00:19:30.0 APO 10/31/05
2005hc 5944 01:56:47.94 -00:12:49.1 MDM 10/22/05
2005hc 5944 01:56:47.94 -00:12:49.1 MDM 10/24/05
2005hc 5944 01:56:47.94 -00:12:49.1 Subaru 11/27/05
2005ie 5957 02:19:02.53 -00:16:22.0 Subaru 10/26/05
— 5963 00:44:19.45 +00:28:46.2 HET 12/23/05
2005it 5966 01:04:45.69 +00:30:50.1 HET 10/30/05
— 5993 01:58:43.77 +00:02:56.7 HET 12/25/05
2005ht 5994 20:50:24.60 -00:10:04.4 WHT 10/24/05
2005if 6057 03:30:12.87 -00:58:28.5 MDM 10/23/05
2005if 6057 03:30:12.87 -00:58:28.5 Subaru 11/26/05
2005ka 6100 22:13:55.96 +01:05:11.4 HET 11/4/05
2005ih 6108 00:07:13.58 +00:20:56.3 Subaru 10/28/05
2005iw 6127 22:29:17.75 -00:05:32.4 HET 10/30/05
2005iv 6137 20:31:44.68 +00:14:41.1 HET 11/2/05
2005jy 6192 23:13:51.60 +01:15:25.2 HET 11/5/05
2005ig 6196 22:30:31.47 -00:30:09.5 Subaru 10/27/05
2005ii 6249 00:13:03.73 -00:37:12.4 Subaru 10/28/05
2005js 6295 01:34:41.51 -00:36:19.4 HET 11/7/05
2005jk 6304 01:45:59.43 +01:11:45.4 APO 11/5/05
2005jk 6304 01:45:59.43 +01:11:45.4 Keck 11/5/05
2005ix 6315 20:41:55.88 +01:05:31.3 HET 11/1/05
2005ix 6315 20:41:55.88 +01:05:31.3 Keck 11/5/05
2005ij 6406 03:04:21.26 -01:03:46.6 WHT 10/24/05
2005ij 6406 03:04:21.26 -01:03:46.6 Subaru 11/26/05
2005id 6422 23:16:33.32 -00:39:47.6 WHT 10/24/05
— 6471 20:37:32.67 +00:29:41.8 Subaru 10/28/05
2005hjc 6558 01:26:48.40 -01:14:17.2 HET 10/26/05
2005jd 6649 02:17:06.21 +00:32:05.3 HET 11/1/05
2005jd 6649 02:17:06.21 +00:32:05.3 Keck 11/5/05
— 6696 22:36:19.04 +00:28:45.3 HET 10/31/05
2005ik 6699 21:31:15.60 -01:03:25.2 Subaru 10/28/05
2005ik 6699 21:31:15.60 -01:03:25.2 Keck 11/5/05
— 6714 23:49:26.41 +00:37:54.8 HET 12/20/05
2005iu 6773 20:20:15.60 +00:13:02.6 APO 10/31/05
2005iy 6777 21:24:51.94 +00:23:08.2 HET 10/30/05
2005iy 6777 21:24:51.94 +00:23:08.2 HET 11/2/05
2005iz 6780 21:52:16.47 +00:16:01.5 HET 11/1/05
2005jf 6852 03:33:40.76 -00:06:43.6 HET 10/31/05
2005ja 6924 23:55:52.64 +00:52:37.1 HET 10/31/05
2005jc 6933 00:45:24.41 +01:04:32.1 APO 11/2/05
2005jc 6933 00:45:24.41 +01:04:32.1 Keck 11/5/05
2005jl 6936 21:32:56.12 -00:41:59.2 Keck 11/5/05
2005je 6962 02:35:26.61 +01:04:29.6 APO 11/2/05
— 6968 01:18:13.37 -00:54:23.6 APO 11/24/05
— 7017 02:05:27.68 -00:29:52.5 APO 11/2/05
— 7099 22:51:33.17 +01:10:02.5 APO 10/31/05
— 7102 21:38:28.78 -00:36:56.1 APO 10/31/05
2005jg 7143 23:01:02.97 -00:12:26.7 HET 11/1/05
2005jh 7147 23:20:04.42 -00:03:19.8 MDM 11/3/05
2005jh 7147 23:20:04.42 -00:03:19.8 Keck 11/5/05
2005jm 7243 21:52:18.97 +00:28:19.1 Keck 11/5/05
2005kn 7335 21:15:32.45 -00:21:19.2 HET 11/9/05
2005jb 7426 22:36:03.21 -00:22:04.5 HET 10/31/05
— 7444 01:50:48.71 -00:25:47.4 HET 12/19/05
2005jx 7460 21:34:20.18 -00:40:54.0 HET 11/4/05
2005ji 7473 00:17:18.34 -00:15:26.1 MDM 11/4/05
2005ji 7473 00:17:18.34 -00:15:26.1 Keck 11/5/05
2005jn 7475 00:19:00.84 -00:16:53.3 HET 11/5/05
2005jn 7475 00:19:00.84 -00:16:53.3 Keck 11/5/05
2005jo 7512 03:28:21.68 -00:19:34.1 Keck 11/5/05
— 7647 23:53:31.95 +01:02:31.3 HET 12/21/05
2005jw 7779 20:40:19.25 -00:00:25.9 HET 11/5/05
2005jp 7847 02:09:50.38 -00:03:42.2 Keck 11/5/05
2005ir 7876 01:16:43.80 +00:47:40.7 APO 11/2/05
2005ir 7876 01:16:43.80 +00:47:40.7 APO 11/6/05
— 7922 02:12:53.30 -00:55:03.1 HET 11/2/05
2005jj 7947 20:56:44.66 +00:24:30.0 HET 11/3/05
2005jv 8030 02:40:50.12 +00:59:35.2 HET 11/5/05
2005ju 8046 02:36:28.04 +00:30:40.6 HET 11/4/05
2005hk 8151 00:27:50.89 -01:11:53.3 MDM 11/3/05
2005hk 8151 00:27:50.89 -01:11:53.3 APO 11/4/05
2005hk 8151 00:27:50.89 -01:11:53.3 MDM 11/4/05
2005hk 8151 00:27:50.89 -01:11:53.3 APO 11/6/05
2005hk 8151 00:27:50.89 -01:11:53.3 WHT 11/10/05
2005hk 8151 00:27:50.89 -01:11:53.3 WHT 11/12/05
2005hk 8151 00:27:50.89 -01:11:53.3 MDM 11/14/05
2005hk 8151 00:27:50.89 -01:11:53.3 MDM 12/7/05
2005ko 8213 23:50:05.03 -00:55:17.1 HET 11/21/05
2005mi 8495 22:21:02.65 -00:44:53.4 HET 12/7/05
2005jt 8598 02:50:40.17 -00:03:57.5 HET 11/6/05
2005jr 8679 01:00:12.37 +00:20:26.9 Keck 11/5/05
2005mh 8707 02:44:56.67 +00:12:13.2 HET 12/7/05
2005kp 8719 00:30:53.15 -00:43:07.9 APO 11/9/05
— 8742 00:44:57.49 +00:26:14.2 HET 12/31/05
2005ld 8921 21:40:00.47 -00:00:28.5 APO 11/24/05
2005le 9032 22:31:32.29 -00:29:36.8 Subaru 11/26/05
2005kq 9045 23:11:20.91 -00:36:31.0 HET 11/22/05
2005kr 9118 03:08:29.67 +00:53:20.2 HET 11/22/05
2005lg 9207 01:16:20.07 -00:48:28.1 Subaru 11/26/05
2005ks 9273 21:37:56.56 -00:01:56.9 HET 11/22/05
2005li 9457 22:23:15.45 +00:15:11.0 HET 11/23/05
2005lh 9467 21:55:48.33 +01:10:51.0 HET 12/1/05
— 9954 00:26:20.19 -00:25:31.6 HET 12/26/05
2005kt 10028 01:10:58.04 +00:16:34.2 WHT 11/12/05
— 10045 21:48:46.84 +01:12:41.2 HET 11/27/05
2005lj 10096 01:57:43.04 -00:10:46.0 APO 11/26/05
— 10106 03:10:46.39 -00:12:17.6 HET 12/28/05
2005mk 10297 22:42:40.63 +00:49:58.9 HET 12/4/05
2005kb 10367 00:50:50.68 +00:51:13.0 APO 11/9/05
2005lk 10434 21:59:49.42 -01:11:37.4 APO 11/24/05
2005ll 10449 22:28:06.88 -01:07:41.6 Subaru 11/27/05
2005lf 10550 23:18:42.09 -01:12:17.6 Subaru 11/26/05
2005ku 10805 22:59:42.61 -00:00:49.4 MDM 11/22/05
2005lm 10907 00:15:04.91 +00:21:18.6 APO 11/24/05
— 10915 01:21:52.25 +00:23:19.9 HET 12/23/05
— 10928 00:26:42.53 -00:48:13.8 APO 11/26/05
— 10976 01:28:40.94 -00:53:21.2 APO 11/26/05
2005mjd 11017 21:31:49.44 -01:04:09.9 Magellan 11/19/05
2005ml 11067 02:14:04.41 -00:14:21.0 APO 12/4/05
2005mm 11206 00:13:09.55 +01:08:43.9 HET 12/3/05
2005ln 11300 00:27:00.12 -00:35:11.8 APO 11/24/05
2005mo 11320 03:50:12.90 -00:14:24.9 HET 12/7/05
2005mn 11332 03:49:18.44 -00:41:31.5 HET 12/1/05
2005mn 11332 03:49:18.44 -00:41:31.5 APO 12/4/05
2005mn 11332 03:49:18.44 -00:41:31.5 HET 12/7/05
2005mn 11332 03:49:18.44 -00:41:31.5 HET 12/30/05
2005lo 11452 00:37:11.87 -01:12:12.4 HET 12/2/05
2005lq 11557 02:41:36.05 +00:12:18.0 HET 12/1/05
2005mp 11650 01:04:45.67 +00:03:20.3 HET 12/3/05
2005lp 11864 01:47:42.80 +00:12:25.9 HET 12/1/05
2005mq 12136 23:20:21.78 -00:20:59.6 HET 12/7/05
